sample,var,beta,se,p,n
CHN_2012,TCI_full,0.20594462202127328,0.03305981794886503,4.680629409293772e-10,1633
CHN_2012,DAI_thin,-0.06432434109983833,0.031934070383835736,0.04397954716408162,1633
CHN_2024,TCI_full,0.28586443692000746,0.03398211691544986,4.0238362775102817e-17,1915
CHN_2024,DAI_thin,0.005231439031149518,0.032149956347689426,0.8707389448374144,1915
CHN_pooled,TCI_full,0.26622209646582873,0.02452538254264627,1.888852668763613e-27,3548
CHN_pooled,DAI_thin,-0.06431588944225637,0.022533889275675602,0.004314739307211194,3548
