variable,wave_pair,b12,b24,z,p
FSTS,2012 vs 2024,2.0598019590027623,1.4281510589132385,0.9141544772970485,0.3606356804513502
FSTS_sq,2012 vs 2024,-2.085120234438824,-1.5015895743384151,-0.7011168705333359,0.4832300827396816
TCI_full,2012 vs 2024,0.20594462202127328,0.28586443692000746,-1.6857060085740139,0.09185243899870055
DAI_thin,2012 vs 2024,-0.06432434109983833,0.005231439031149518,-1.5349561264040277,0.12479460534288656
