sample,n,b_FSTS,se_FSTS,b_FSTS_sq,se_FSTS_sq,tp_pct,se_tp_pct,tp_ci_lo,tp_ci_hi,lm_p
CHN_2012,2619,2.0598019590027623,0.3781742681854416,-2.085120234438824,0.43389033815423184,49.39288212214592,3.1778258206384713,43.16434351369451,55.62142073059733,2.4468055851809933e-05
CHN_2024,1940,1.4281510589132385,0.5782906767533967,-1.5015895743384151,0.7102403166784246,47.55464087257222,6.981921561633864,33.87007461176985,61.2392071333746,0.03743650582277068
CHN_pooled,4559,1.7822750216092063,0.3187974247194816,-1.821224483769864,0.3745512833513676,48.93067926255764,3.16042440108397,42.736247436433054,55.125111088682225,2.2252300873635772e-05
