b1,b2,b3,tp1_pct,tp2_pct,disc,wald_p,sample,model,n,lm_p_quad,tp_quad_pct
,,,,,,,FULL,M0_controls,8229,,
,,,,,,,FULL,M1_linear,8229,,
,,,,,,,FULL,M2_quadratic,8229,0.0002,21.5
0.3264,0.6186,-1.7925,38.7,-15.7,8.551856,0.0,FULL,M3_cubic,8229,0.8404,-26.4
0.2041,1.1085,-2.1554,41.8,-7.5,10.192625,0.0,FULL,M4_TCI,8202,0.9409,-9.2
0.312,0.6276,-1.7725,38.7,-15.1,8.211977,0.0,FULL,M5_DAI,8228,0.842,-24.9
0.1841,0.9375,-1.9356,40.2,-7.9,7.79177,0.0,FULL,M6_TCI_DAI,8201,0.9098,-9.8
0.2219,1.058,-2.1114,41.8,-8.4,10.100505,0.0,FULL,M7_full,8201,0.9344,-10.5
