sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
VNM_2023,M6_TCI_DAI,dai_z,0.1202,0.0549,2.187,0.0287,**,0.0125,0.2279,1013,0.0535,0.046
VNM_2023,M6_TCI_DAI,log_emp,-0.0083,0.0374,-0.222,0.8241,,-0.0817,0.065,1013,0.0535,0.046
VNM_2023,M6_TCI_DAI,firm_age,-0.6285,0.2483,-2.531,0.0114,**,-1.1151,-0.1418,1013,0.0535,0.046
VNM_2023,M6_TCI_DAI,fdi10,0.2021,0.1264,1.6,0.1097,,-0.0456,0.4498,1013,0.0535,0.046
VNM_2023,M7_full,const,21.7417,0.5538,39.257,0.0,***,20.6562,22.8272,1013,0.0573,0.046
VNM_2023,M7_full,fsts_c,0.133,0.5291,0.251,0.8014,,-0.9039,1.17,1013,0.0573,0.046
VNM_2023,M7_full,fsts_c2,5.723,2.8719,1.993,0.0463,**,0.0941,11.3519,1013,0.0573,0.046
VNM_2023,M7_full,fsts_c3,-8.1994,3.0221,-2.713,0.0067,***,-14.1227,-2.2762,1013,0.0573,0.046
VNM_2023,M7_full,tci_z,0.1327,0.0755,1.758,0.0788,*,-0.0153,0.2808,1013,0.0573,0.046
VNM_2023,M7_full,fsts_x_tci,0.1087,0.394,0.276,0.7827,,-0.6635,0.8809,1013,0.0573,0.046
VNM_2023,M7_full,fsts2_x_tci,-0.0598,0.576,-0.104,0.9174,,-1.1886,1.0691,1013,0.0573,0.046
VNM_2023,M7_full,dai_z,0.026,0.0777,0.335,0.7375,,-0.1263,0.1784,1013,0.0573,0.046
VNM_2023,M7_full,fsts_x_dai,-0.7737,0.4114,-1.88,0.0601,*,-1.5801,0.0327,1013,0.0573,0.046
VNM_2023,M7_full,fsts2_x_dai,0.8365,0.6165,1.357,0.1749,,-0.3719,2.0448,1013,0.0573,0.046
VNM_2023,M7_full,log_emp,-0.0113,0.0376,-0.301,0.7633,,-0.0851,0.0624,1013,0.0573,0.046
VNM_2023,M7_full,firm_age,-0.6321,0.2472,-2.557,0.0106,**,-1.1167,-0.1476,1013,0.0573,0.046
VNM_2023,M7_full,fdi10,0.2075,0.1255,1.654,0.0982,*,-0.0385,0.4535,1013,0.0573,0.046
VNM_pooled,M0_controls,const,20.7217,0.2185,94.817,0.0,***,20.2934,21.1501,2978,0.1147,0.1133
VNM_pooled,M0_controls,log_emp,-0.083,0.0178,-4.648,0.0,***,-0.1179,-0.048,2978,0.1147,0.1133
VNM_pooled,M0_controls,firm_age,-0.5212,0.0983,-5.303,0.0,***,-0.7138,-0.3285,2978,0.1147,0.1133
VNM_pooled,M0_controls,fdi10,0.1669,0.0788,2.119,0.0341,**,0.0126,0.3213,2978,0.1147,0.1133
