sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
FULL,M7_full,fsts_c,0.2219,0.1606,1.382,0.1669,,-0.0928,0.5367,8201,0.8973,0.8971
FULL,M7_full,fsts_c2,1.058,0.8248,1.283,0.1996,,-0.5586,2.6746,8201,0.8973,0.8971
FULL,M7_full,fsts_c3,-2.1114,0.8169,-2.584,0.0098,***,-3.7126,-0.5102,8201,0.8973,0.8971
FULL,M7_full,tci_z,0.1818,0.0228,7.971,0.0,***,0.1371,0.2265,8201,0.8973,0.8971
FULL,M7_full,fsts_x_tci,-0.0089,0.1334,-0.067,0.9469,,-0.2703,0.2526,8201,0.8973,0.8971
FULL,M7_full,fsts2_x_tci,-0.1302,0.2064,-0.631,0.5283,,-0.5348,0.2744,8201,0.8973,0.8971
FULL,M7_full,dai_z,0.0339,0.0241,1.409,0.1589,,-0.0133,0.081,8201,0.8973,0.8971
FULL,M7_full,fsts_x_dai,-0.3206,0.1437,-2.231,0.0257,**,-0.6023,-0.0389,8201,0.8973,0.8971
FULL,M7_full,fsts2_x_dai,0.5108,0.2279,2.242,0.025,**,0.0642,0.9575,8201,0.8973,0.8971
FULL,M7_full,log_emp,-0.079,0.0114,-6.955,0.0,***,-0.1013,-0.0567,8201,0.8973,0.8971
FULL,M7_full,firm_age,-0.3803,0.0419,-9.08,0.0,***,-0.4624,-0.2982,8201,0.8973,0.8971
FULL,M7_full,fdi10,0.1606,0.0459,3.496,0.0005,***,0.0706,0.2507,8201,0.8973,0.8971
