wave,lnLP,fsts,fsts_c,fsts_c2,tci_thin,dai_thin,lnemp,firmage,foreign_owned,sector_2d,sector_broad,tci_z,dai_z
2009,18.25979951839628,0.08,-0.13423705722070844,0.018019587531275753,0.5,0.5,5.777652323222656,50,0,15,1,1.0513036267901412,0.7466745461723514
2009,19.553194584296158,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.5,5.66988092298052,7,0,15,1,1.0513036267901412,0.7466745461723514
2009,17.609750527736036,0.4,0.18576294277929156,0.03450787091002235,0.0,0.5,3.8066624897703196,4,0,15,1,-0.6335366833931855,0.7466745461723514
2009,21.55951386114703,1.0,0.7857629427792916,0.6174234022451722,0.0,0.5,4.174387269895637,30,0,15,1,-0.6335366833931855,0.7466745461723514
2009,18.280918801577208,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,3.1354942159291497,12,0,15,1,-0.6335366833931855,-0.8465205610674913
2009,20.184269336213724,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,4.0943445622221,18,0,17,1,-0.6335366833931855,-0.8465205610674913
2009,19.711664925267932,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.5,4.007333185232471,12,0,17,1,-0.6335366833931855,0.7466745461723514
2009,17.72753356339242,0.0,-0.21423705722070846,0.04589751668658911,0.5,1.0,3.6888794541139363,12,0,18,1,1.0513036267901412,2.3398696534121943
2009,18.420680743952367,0.7,0.4857629427792915,0.23596563657759723,0.0,0.0,4.605170185988092,16,0,18,1,-0.6335366833931855,-0.8465205610674913
2009,17.899804784332872,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,5.298317366548036,7,1,18,1,-0.6335366833931855,-0.8465205610674913
2009,18.304146927696415,0.4,0.18576294277929156,0.03450787091002235,1.0,1.0,7.600902459542082,16,0,18,1,2.736143936973468,2.3398696534121943
2009,18.63579212356931,0.84,0.6257629427792915,0.3915792605557988,1.0,1.0,8.517193191416238,63,0,18,1,2.736143936973468,2.3398696534121943
2009,17.622173047734595,1.0,0.7857629427792916,0.6174234022451722,0.0,0.0,3.6888794541139363,9,0,18,1,-0.6335366833931855,-0.8465205610674913
2009,18.742764243121478,0.14,-0.07423705722070845,0.00551114066479074,0.5,0.5,6.214608098422191,53,0,02,2,1.0513036267901412,0.7466745461723514
2009,19.48155270463763,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.5,5.19295685089021,51,0,02,2,1.0513036267901412,0.7466745461723514
2009,20.666107423106464,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.0,5.19295685089021,12,0,02,2,1.0513036267901412,-0.8465205610674913
2009,20.030118656386467,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,4.0943445622221,5,0,02,2,-0.6335366833931855,-0.8465205610674913
2009,21.322102338035116,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,3.912023005428146,5,0,24,2,-0.6335366833931855,-0.8465205610674913
2009,19.90495551343246,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,3.5263605246161616,10,0,02,2,-0.6335366833931855,-0.8465205610674913
2009,20.045232294196513,0.0,-0.21423705722070846,0.04589751668658911,1.0,1.0,5.2832037287379885,6,0,25,2,2.736143936973468,2.3398696534121943
2009,19.895770603855386,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.5,6.551080335043404,12,1,25,2,1.0513036267901412,0.7466745461723514
2009,20.061617323445837,0.26,0.04576294277929155,0.0020942469318207123,0.5,0.5,5.521460917862246,20,0,25,2,1.0513036267901412,0.7466745461723514
2009,19.11382792451231,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.5,4.0943445622221,24,0,25,2,1.0513036267901412,0.7466745461723514
2009,17.391061326771208,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.5,4.248495242049359,11,0,25,2,-0.6335366833931855,0.7466745461723514
2009,17.341871082580436,0.8,0.5857629427792916,0.3431182251334557,0.5,0.5,6.214608098422191,20,0,02,2,1.0513036267901412,0.7466745461723514
2009,19.806975105072254,0.2,-0.014237057220708449,0.00020269379830572658,0.5,0.5,2.995732273553991,15,0,26,2,1.0513036267901412,0.7466745461723514
2009,18.158316479484874,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.5,6.476972362889683,50,0,02,2,-0.6335366833931855,0.7466745461723514
2009,20.3832285341607,0.05,-0.16423705722070847,0.026973810964518268,1.0,1.0,5.638354669333745,50,0,26,2,2.736143936973468,2.3398696534121943
2009,20.72326583694641,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.0,3.912023005428146,8,0,02,2,1.0513036267901412,-0.8465205610674913
2009,21.493374058642484,0.0,-0.21423705722070846,0.04589751668658911,0.5,0.5,3.912023005428146,7,0,27,2,1.0513036267901412,0.7466745461723514
2009,21.234091460712403,0.0,-0.21423705722070846,0.04589751668658911,0.0,0.0,3.4011973816621555,8,0,02,2,-0.6335366833931855,-0.8465205610674913
