wave,tp_pct,se_tp_pct,tp_ci_lo,tp_ci_hi,lm_p,slope_lo,slope_hi,fsts_min,fsts_max,mean_fsts_pct,tp_raw_pct
2009,22.150464523099203,9.586339557731167,3.3612389899461164,40.93969005625229,0.12786937306416624,0.7268178147665143,-0.9411836885944774,0.0,1.0,21.423705722070846,43.57417024517005
2015,19.68123107642178,6.3283070215277295,7.277749314227432,32.08471283861613,0.033095734631133356,1.3486081375168584,-2.3683876067628247,0.0,1.0,16.600977198697066,36.28220827511885
2023,27.919584824379072,7.323453770669756,13.56561543386635,42.273554214891796,0.06810645526030412,1.028568189957243,-1.5027209808974409,0.0,1.0,12.714579055441478,40.63416387982055
pooled,14.912043757863907,7.640277318633112,-0.06289978665699181,29.886987302384806,0.040958212784092174,0.7302529946886085,-1.45451452585276,0.0,1.0,16.495262704565032,31.40730646242894
