country,year,sales,employees,ln_lp,fsts,fsts_sq,foreign_tech,product_innov,rd_spending,quality_cert,website,epayment_pct,epay_supp_pct,ln_empl,firm_age,foreign_dummy
SGP,2023,80000.0,19.0,8.345342934489578,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0,50.0,2.944438934326172,15.0,0.0
SGP,2023,400000.0,11.0,10.501324553291749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,2.397895336151123,25.0,0.0
SGP,2023,500000.0,7.0,11.176453228349015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,100.0,1.9459102153778076,24.0,0.0
SGP,2023,2500000.0,8.0,12.652359748158593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,70.0,2.079441547393799,24.0,1.0
SGP,2023,300000.0,7.0,10.665627604583024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,1.9459102153778076,24.0,0.0
SGP,2023,400000.0,10.0,10.596634733096073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,2.3025851249694824,24.0,0.0
SGP,2023,60000.0,8.0,8.922658299524402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,100.0,2.079441547393799,4.0,0.0
SGP,2023,300000.0,6.0,10.819778284410283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1.7917594909667969,32.0,0.0
SGP,2023,300000.0,6.0,10.819778284410283,0.0,0.0,1.0,0.0,0.0,0.0,1.0,80.0,90.0,1.7917594909667969,23.0,0.0
SGP,2023,400000.0,21.0,9.854697388366695,0.0,0.0,0.0,1.0,0.0,1.0,1.0,30.0,100.0,3.044522523880005,24.0,0.0
SGP,2023,80000.0,7.0,9.343871764600705,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,10.0,1.9459102153778076,23.0,0.0
SGP,2023,600000.0,10.0,11.002099841204238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,90.0,2.3025851249694824,22.0,0.0
SGP,2023,300000.0,7.0,10.665627604583024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.9459102153778076,21.0,0.0
