model,n,r2,adj_r2,f,ln_empl_b,ln_empl_se,ln_empl_p,firm_age_b,firm_age_se,firm_age_p,foreign_dummy_b,foreign_dummy_se,foreign_dummy_p,wave_2024_b,wave_2024_se,wave_2024_p,FSTS_b,FSTS_se,FSTS_p,FSTS2_b,FSTS2_se,FSTS2_p,TCI_full_b,TCI_full_se,TCI_full_p,FSTS_x_TCI_full_b,FSTS_x_TCI_full_se,FSTS_x_TCI_full_p,FSTS2_x_TCI_full_b,FSTS2_x_TCI_full_se,FSTS2_x_TCI_full_p,DAI_thin_b,DAI_thin_se,DAI_thin_p,FSTS_x_DAI_thin_b,FSTS_x_DAI_thin_se,FSTS_x_DAI_thin_p,FSTS2_x_DAI_thin_b,FSTS2_x_DAI_thin_se,FSTS2_x_DAI_thin_p
M1,4628,0.031086470957987777,0.030457850588799573,44.32483587821678,-0.02823151714968608,0.015069816914070546,0.06101571424671298,-0.5624636280904567,0.05355831577556537,8.466622224436608e-26,0.23526155685778544,0.07285663408931041,0.0012417927372140372,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
M2,4628,0.034384763423646936,0.03334017749052676,30.560317913602244,-0.039931828192635965,0.015513796808129952,0.010054309951791223,-0.5650966200801849,0.05350136061778587,4.456785755272154e-26,0.2009924929548135,0.07409632374621308,0.006676088374738973,-1.524835395543897e-16,4.62831271722276e-17,0.00098568318838091,1.1015235263300482,0.263503005051761,2.9111546360691843e-05,-1.1594591436843062,0.30355598865039,0.00013367417096042642,,,,,,,,,,,,,,,,,,
M3,4627,0.049051578507176896,0.047816580557186183,40.557088962938195,-0.08149672145311981,0.015546543254118594,1.5874892947555703e-07,-0.5324406041469206,0.053564504799875505,2.78334984064826e-23,0.17531032284495995,0.07296745482552146,0.016279766328237594,-7.133312229814407e-16,2.681898107564165e-16,0.007818709525405232,0.7551510963997959,0.2652481705247698,0.004413882192557419,-0.805935104482509,0.30395226807609654,0.008013068984864357,0.528876149548063,0.061373587191997106,6.8536374792287736e-18,,,,,,,,,,,,,,,
M4,4627,0.049388083316358244,0.04774128917745202,30.71332676782911,-0.08144982365625712,0.015527482485199815,1.558365052188934e-07,-0.5327220334815319,0.05351390835893226,2.4022529200762175e-23,0.18037121245256016,0.07297010813212235,0.013441564135642617,-2.421871674343304e-15,1.359657945873399e-15,0.07487390562183655,1.3645689291200465,0.48841259385068964,0.005207889328943636,-1.4671563213266947,0.5394464440697381,0.006533244062466962,0.5539448698529719,0.06783213260092599,3.1770750467377357e-16,-1.0996291374649245,0.8157272555609375,0.17764702851354575,1.1992719263628846,0.9314142446866184,0.19789161677040068,,,,,,,,,
M5,4628,0.03439761918013695,0.033143861490260385,25.54401613604168,-0.03898030565978816,0.015937778363778306,0.014453901420997128,-0.5652126058874485,0.05349672987422913,4.31276556939282e-26,0.20195198359611988,0.07422266763900529,0.006510570735667928,-7.343787321468e-16,1.7827181163105069e-16,3.7980631643478446e-05,1.1051444208841217,0.2635117786053865,2.7418800907616043e-05,-1.1628050994416945,0.30371045752650333,0.00012884110045960383,,,,,,,,,,-0.012485804207097884,0.05050305820646706,0.8047312538617175,,,,,,
M6,4628,0.034693011066851964,0.033021121932523045,19.863791888561636,-0.039468665698022654,0.015904844511372675,0.013081238427599281,-0.5654851161808615,0.053379688194717397,3.189484940922347e-26,0.2085495700996274,0.07396820759917794,0.004810621302618481,4.983485812203812e-15,2.5229594421280576e-15,0.04823932690305766,1.5634660517489776,0.41343461849131535,0.0001557907475520615,-1.6206437584478972,0.4774139869337688,0.0006872144945618826,,,,,,,,,,0.010628338518336555,0.05523632119595824,0.8474165512564692,-0.8446512978649254,0.7001846601489323,0.22769163061036646,0.8348402633364502,0.8281852752228253,0.31343735899541214
M7,4627,0.052540619578821834,0.051104764271840186,39.69530699571833,-0.0734833091127843,0.01573013170857819,2.9900820703844225e-06,-0.5273072707629641,0.05350949229438495,6.556674100740265e-23,0.18698588152116857,0.07285923345329744,0.010276047517609133,3.872575272503733e-16,2.012703018549935e-16,0.0543461974440727,0.7439633408670103,0.26493262335230755,0.004983122051886987,-0.788187540842048,0.3037132478934353,0.00945441151615135,0.6460132778266138,0.06554136835835984,6.420341884306835e-23,,,,,,,-0.22595068910173985,0.05372375982956601,2.6017521984260742e-05,,,,,,
M8,4627,0.05321094249441738,0.05095424051553077,26.345196367818357,-0.07393036979830278,0.015686110362054563,2.439639395260115e-06,-0.5288241976214786,0.053419148332726867,4.1825656548614253e-23,0.19513233288139045,0.07269963635081342,0.007272762725359777,1.9245740085057174e-16,1.0924235393478888e-16,0.07811203518660996,1.4851501042740982,0.5072993951928007,0.0034163164897951567,-1.5530673416206533,0.5672662993978097,0.006184979937086298,0.6521829957653998,0.07264873283305695,2.7771723315324446e-19,-0.6961460726372618,0.9246083844908392,0.45150453547610403,0.9696024234344646,1.0545061146991463,0.35784201304019203,-0.1965634385486153,0.058858531854490324,0.0008390177878480926,-0.6715247826282924,0.7999054018888712,0.4011858455954801,0.45275122544219876,0.9406858613809932,0.6303039615721987
