model,n,r2,adj_r2,f,ln_empl_b,ln_empl_se,ln_empl_p,firm_age_b,firm_age_se,firm_age_p,foreign_dummy_b,foreign_dummy_se,foreign_dummy_p,FSTS_b,FSTS_se,FSTS_p,FSTS2_b,FSTS2_se,FSTS2_p,TCI_full_b,TCI_full_se,TCI_full_p,FSTS_x_TCI_full_b,FSTS_x_TCI_full_se,FSTS_x_TCI_full_p,FSTS2_x_TCI_full_b,FSTS2_x_TCI_full_se,FSTS2_x_TCI_full_p,DAI_rich_b,DAI_rich_se,DAI_rich_p,FSTS_x_DAI_rich_b,FSTS_x_DAI_rich_se,FSTS_x_DAI_rich_p,FSTS2_x_DAI_rich_b,FSTS2_x_DAI_rich_se,FSTS2_x_DAI_rich_p
M1,623,0.04315759856143064,0.038520236357366566,8.85703498114466,-0.1428081645903325,0.03760312625929061,0.00014600151372424417,-0.046882400217434436,0.12691563430376546,0.7118309784817474,0.3984678867931005,0.09946357033276826,6.171146396826236e-05,,,,,,,,,,,,,,,,,,,,,,,,
M2,623,0.18750107410711547,0.18091680404315358,19.884453249775667,-0.14035713033224612,0.036899741698034644,0.00014252610762358083,0.12494997519173145,0.10644381903990542,0.240451732132118,0.28530896185214283,0.0890311660115099,0.001352519487879628,4.017647434941486,0.6765134953209115,2.8719588826202584e-09,-2.6302307282226987,0.8636085774178821,0.002321946851310216,,,,,,,,,,,,,,,,,,
M3,623,0.21041997154946246,0.20272925698663247,22.461690565134152,-0.1848002284690942,0.03748813673319103,8.241266848568235e-07,0.16566350488895204,0.1087404328110071,0.12763951060661707,0.2674178734030338,0.0884541102415139,0.002500850449215864,3.7123101611684546,0.6753180756105716,3.8602566870220976e-08,-2.4051806427752553,0.8554577464359454,0.004930012794503161,0.8387400181816638,0.20070028908304868,2.9270704521290698e-05,,,,,,,,,,,,,,,
M4,623,0.21131518444827535,0.2010391607928783,16.80964327157219,-0.1855796671407025,0.03741795840314709,7.062331430957048e-07,0.1719033211966872,0.10973579419559182,0.1172269197538224,0.26021729420881023,0.08950663542588806,0.003646330171602967,3.325063382490397,1.1303596744252844,0.0032652385595340638,-1.76207882621894,1.502181499948199,0.24079048617652066,0.8465527893375049,0.2127394553038477,6.912028855275274e-05,1.328678674468073,3.015587210667403,0.659499973754532,-2.11816758975503,3.3509667887869536,0.5273173463685831,,,,,,,,,
M5,623,0.1940617311884857,0.18621168311564618,16.85384478921161,-0.14591775934080886,0.036873805024954395,7.582708373645888e-05,0.13145336439091773,0.10610176074487533,0.21536894433209797,0.2871655716987478,0.08913309968576695,0.0012740522659925872,3.810692899216788,0.6829952114640437,2.413711502786753e-08,-2.453217896011874,0.8613846665787077,0.004399582882341933,,,,,,,,,,0.3458425059422136,0.14338214992200804,0.01586383689425365,,,,,,
M6,623,0.2049844922057803,0.19462598396090447,14.883260169645762,-0.13167047557225467,0.03690262565125442,0.00035964557437194683,0.11159069626542158,0.1065351647739706,0.29489018638539155,0.27906094543488313,0.08875708008646134,0.00166599717417162,8.98690235045904,2.112618650862214,2.1006409869084573e-05,-11.859302182073703,3.0334660876351687,9.249158189357191e-05,,,,,,,,,,0.3690177912282579,0.14975605837514738,0.013734783414629232,-6.584118963272627,2.6150970097710107,0.011811244422801442,11.870968658416782,3.8093721233417597,0.0018316483215062211
M7,623,0.2124857390753646,0.20352216212175078,19.28861744427636,-0.18466241432831307,0.03741995513799993,8.020635620388695e-07,0.16635273779126514,0.1085548091401261,0.12541615097483635,0.2698427960850702,0.08896015583356172,0.0024189539580367677,3.6156168013161327,0.677864828163683,9.616174039396243e-08,-2.319750415232544,0.8544051342046743,0.00662662905705535,0.7754196494222647,0.21374885183280667,0.0002859420219722766,,,,,,,0.20010579495887143,0.15103397886382436,0.18520239611698508,,,,,,
M8,623,0.22613677075787197,0.21220469952765364,15.214889738948138,-0.1708781337143978,0.037226530078248624,4.4276933262160795e-06,0.1603652258135575,0.10943920624727392,0.14282922662286246,0.25218287969169884,0.090004527826239,0.005080402991550676,9.105041311743502,1.9677910111170192,3.7093472588513116e-06,-11.891420674543243,2.9144982635144427,4.5017904884726305e-05,0.7476814902182837,0.2272389184749144,0.001000848819191069,3.280642989997637,3.1402723663140804,0.29616157875078675,-4.442334887278752,3.4251929616218466,0.19464528932593206,0.23600499782025017,0.1585531108553627,0.1366212556213894,-8.057763482869982,2.7232668084562928,0.0030877998835485733,13.643883897571982,4.030491440228704,0.0007113513697740166
