model,n,r2,adj_r2,f,ln_empl_b,ln_empl_se,ln_empl_p,firm_age_b,firm_age_se,firm_age_p,foreign_dummy_b,foreign_dummy_se,foreign_dummy_p,wave_2015_b,wave_2015_se,wave_2015_p,wave_2023_b,wave_2023_se,wave_2023_p,FSTS_b,FSTS_se,FSTS_p,FSTS2_b,FSTS2_se,FSTS2_p,TCI_thin_b,TCI_thin_se,TCI_thin_p,FSTS_x_TCI_thin_b,FSTS_x_TCI_thin_se,FSTS_x_TCI_thin_p,FSTS2_x_TCI_thin_b,FSTS2_x_TCI_thin_se,FSTS2_x_TCI_thin_p,DAI_thin_b,DAI_thin_se,DAI_thin_p,FSTS_x_DAI_thin_b,FSTS_x_DAI_thin_se,FSTS_x_DAI_thin_p,FSTS2_x_DAI_thin_b,FSTS2_x_DAI_thin_se,FSTS2_x_DAI_thin_p
M1,2978,0.01581999728112471,0.014827213149262941,16.436097186326318,-0.12595396589488922,0.019309072217657985,6.889373164228314e-11,-0.3907164537046039,0.10720050070342284,0.0002676768118701601,0.2533648926080928,0.08476239443615508,0.002797830445571946,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
M2,2978,0.0379719398691889,0.036353453899924504,27.043838050205256,-0.08141558735110646,0.020702147155317648,8.399276601270856e-05,-0.3136896663947395,0.10568024098987847,0.0029946106123505197,0.3749105551629511,0.08364643520846798,7.39167813170386e-06,-9.058435093532254e-17,2.9133138372014715e-17,0.0018751630047488385,2.4240208794202847e-16,6.438328039442313e-17,0.00016655904954936132,1.1887825514344832,0.40753027339435616,0.0035336922168054683,-1.8993660004862154,0.4172018052991703,5.297907309049282e-06,,,,,,,,,,,,,,,,,,
M3,2968,0.05185599333505997,0.04993472888386463,32.901670917762736,-0.12408369741106395,0.02204141785712976,1.806597904030543e-08,-0.2561918674754513,0.1055253734098104,0.015191763130825726,0.28967310981329364,0.08316416021760442,0.0004955536239610734,-1.3847503641083697e-15,2.453252522467082e-16,1.6561497904672154e-08,-1.1976043603114407e-16,6.864080250826548e-17,0.08102992844752942,0.9146098067615789,0.4058711528714175,0.024230874176273974,-1.6015949986204792,0.4153695523358429,0.0001153369218210757,0.6707032449858092,0.09787930930761157,7.264675461065747e-12,,,,,,,,,,,,,,,
M4,2968,0.051868200507455664,0.04930481612221049,24.704586756638935,-0.12409722581200189,0.022181025620378103,2.2094375947009136e-08,-0.25700253609659196,0.10556853451305502,0.014913965082669579,0.29059417328646786,0.08361355871956308,0.0005100100017968466,-7.339050858206392e-16,2.8633501229762034e-16,0.010374235589545429,-5.858912474326639e-17,7.679002305202331e-17,0.4454763102634276,0.9727111712687453,0.5178729421392518,0.060342664750521954,-1.664242316383703,0.5342907106563631,0.0018403042014480395,0.6778144946843634,0.12316505857215058,3.727434244931886e-08,-0.22852195141527432,1.080746376731125,0.8325374942781991,0.24371596364965553,1.126793783860409,0.8287605024965363,,,,,,,,,
M5,2977,0.05267876963359586,0.05076498937022933,32.15876233174199,-0.11557577755926798,0.021136613781652283,4.550479589103434e-08,-0.2805618557381818,0.10555737919721409,0.007862723633805685,0.3634214588355689,0.08161804048174219,8.479327271404272e-06,-5.366192886815081e-15,1.6681308284659986e-15,0.0012958840698974294,-1.2679305074301633e-15,4.1819482835340084e-16,0.0024300890389765445,0.9319398489220583,0.40669298007114696,0.021934102050422323,-1.5820180592597528,0.4169382105492191,0.00014801849258213153,,,,,,,,,,0.5215351624573048,0.07577715543867602,5.881721417595551e-12,,,,,,
M6,2977,0.05275081386878355,0.05019758156115228,24.193501927885077,-0.11590848234403008,0.021172297909887793,4.3866235952039763e-08,-0.28141199199805994,0.1056922944068069,0.00775489246663506,0.36195422369561076,0.0819439925059819,1.0003726359282443e-05,9.709147039412447e-16,7.521692423561405e-17,4.0467750451471044e-38,-1.684552647340862e-16,2.8963387230414805e-16,0.5608263624088992,1.0208931666491872,0.6515591539212227,0.11715058012229451,-1.7062665210998502,0.6747824408620431,0.0114512829995218,,,,,,,,,,0.5120656612443999,0.08735828326246424,4.58227648100075e-09,-0.2160346762580144,1.114175668633138,0.8462569849217064,0.3267556589864526,1.1769703192184489,0.7813007125401915
M7,2967,0.058378423354123465,0.056150863017347175,31.523812867057877,-0.13525945045225277,0.022094861647117273,9.254708194247577e-10,-0.24714778622086356,0.10576617151172185,0.01945283393899342,0.30817455326434284,0.08250113929926423,0.00018741887335506837,7.86169557395247e-15,2.842600105454591e-15,0.005680588102987145,-9.28924875470149e-16,2.8924102419967956e-16,0.0013200055996070523,0.8117243857206917,0.40649733405735317,0.04583875777613731,-1.465079190862768,0.41649711953728114,0.00043543308495255176,0.4704504616759936,0.10596766560848837,9.014040423180064e-06,,,,,,,0.37950821020965536,0.08241985564979207,4.133137859741873e-06,,,,,,
M8,2967,0.05859942583843991,0.055095058218887494,20.14784590781632,-0.13633524468307956,0.022340703499922822,1.0438989073055053e-09,-0.24575955747013753,0.10589191419930566,0.020294783642630806,0.30710171453122465,0.08292116374748945,0.00021261297626156022,-1.3156431767415275e-17,4.2164918951665645e-16,0.9751081919401823,-3.103398861424719e-16,8.682577567594564e-16,0.720771200512595,1.194566516601821,0.6488378066002595,0.06560888590317557,-1.8485262137104812,0.6706589555631963,0.005846230087644916,0.4763806571461852,0.13073205398605764,0.0002684888802403623,0.41351542190239765,1.3594014972942383,0.7609836582574048,-0.45071959719506394,1.4176132168962086,0.7505284963912916,0.40331242025038194,0.09312097670522744,1.4839408297977125e-05,-1.1438977844035747,1.4207530363394312,0.42074186641569944,1.1693051336653189,1.4956806143061743,0.4343391833034178
