region,country,year,tag,filename,rel_path,size_bytes,size_mb,md5_8,n_obs,n_vars,core_vars
Southeast Asia,Thailand,2016,fulldata,Thailand_2016.dta,raw/Thailand/Thailand_2016.dta,4773662,4.55,992f8feb,1000,352,36
Southeast Asia,Thailand,2025,full-data,Thailand_2025_full-data.dta,raw/Thailand/Thailand_2025_full-data.dta,1286131,1.23,1d599c99,813,336,30
Southeast Asia,Thailand,2025,fulldata,Thailand_2025.dta,raw/Thailand/Thailand_2025.dta,1286131,1.23,1d599c99,813,336,30
Southeast Asia,TimorLeste,2009,fulldata,TimorLeste_2009.dta,raw/TimorLeste/TimorLeste_2009.dta,158547,0.15,1c697352,150,186,31
Southeast Asia,TimorLeste,2015,fulldata,TimorLeste_2015.dta,raw/TimorLeste/TimorLeste_2015.dta,502416,0.48,bbbf361e,126,315,36
Southeast Asia,TimorLeste,2021,fulldata,TimorLeste_2021.dta,raw/TimorLeste/TimorLeste_2021.dta,772449,0.74,5425dd1c,238,447,34
Pacific,Tonga,2024,full-data,Tonga_2024_full-data.dta,raw/Tonga/Tonga_2024_full-data.dta,287318,0.27,88d8466e,150,339,30
Central Asia,Turkmenistan,2024,fulldata,Turkmenistan_2024.dta,raw/Turkmenistan/Turkmenistan_2024.dta,488411,0.47,50d243af,311,341,30
Central Asia,Uzbekistan,2013,fulldata,Uzbekistan_2013.dta,raw/Uzbekistan/Uzbekistan_2013.dta,1254926,1.2,817c586e,390,389,36
Central Asia,Uzbekistan,2019,full_data,Uzbekistan_2019_full_data.dta,raw/Uzbekistan/Uzbekistan_2019_full_data.dta,2693650,2.57,51163881,1239,437,35
Central Asia,Uzbekistan,2024,fulldata,Uzbekistan_2024.dta,raw/Uzbekistan/Uzbekistan_2024.dta,1369264,1.31,11a39256,1008,340,30
Pacific,Vanuatu,2009,fulldata,Vanuatu_2009.dta,raw/Vanuatu/Vanuatu_2009.dta,246661,0.24,de25afc7,128,187,31
Pacific,Vanuatu,2023,fulldata,Vanuatu_2023.dta,raw/Vanuatu/Vanuatu_2023.dta,268344,0.26,3e53b860,111,354,30
Southeast Asia,Vietnam,2009,fulldata,Vietnam_2009.dta,raw/Vietnam/Vietnam_2009.dta,1132900,1.08,c270b589,1053,287,33
Southeast Asia,Vietnam,2015,fulldata,Vietnam_2015.dta,raw/Vietnam/Vietnam_2015.dta,4371238,4.17,6c625ba2,996,352,36
Southeast Asia,Vietnam,2023,fulldata,Vietnam_2023.dta,raw/Vietnam/Vietnam_2023.dta,2212899,2.11,4ffb2d48,1028,355,31
West Asia,Yemen,2010,full-data,Yemen_2010_full-data.dta,raw/Yemen/Yemen_2010_full-data.dta,394969,0.38,9d923ca1,477,295,33
West Asia,Yemen,2013,full-data,Yemen_2013_full-data.dta,raw/Yemen/Yemen_2013_full-data.dta,659338,0.63,6e5e8023,353,417,35
