row_idx,fsts,ln_lp,TCI,DAI,ln_empl,firm_age,foreign,cooks_d,hat,dfb_fsts_c2,dfb_fsts_c_DAI,dfb_fsts_c2_DAI
446,0.0,11.330603908176274,-0.7405493053788534,0.8419555578165325,1.791759469228055,29,0,0.12432607277272224,0.010248486657218555,-0.002054091013709704,0.0009067385865260629,0.00033630250128765176
377,0.0,10.819778284410283,-0.7405493053788534,-2.45439410415963,3.4011973816621555,11,0,0.028463227158113998,0.018660261828127203,-0.00014791662833576558,-0.0015534126213896638,0.0006102016999864362
565,0.0,11.988349161685303,-0.7405493053788534,0.9537272710138802,3.1354942159291497,4,0,0.026594797354083665,0.012579236347959303,5.688097748886568e-05,-0.014965679978415322,0.009388253060848452
214,0.0,11.08598132518494,-0.7405493053788534,-1.2267315492053292,2.0794415416798357,22,0,0.01768627390258453,0.008197226104922488,-0.0009558454712901101,-0.0013062600055964025,0.0010477036056310346
49,0.2,9.66232549571924,-0.7405493053788534,-0.4919998396855496,1.9459101490553132,23,0,0.01727481098399417,0.03687027174801192,0.31848074486200445,0.31177915505998643,-0.23108356322235543
128,0.0,12.141534124392603,-0.7405493053788534,-0.4948823707957061,2.0794415416798357,36,0,0.016488526960800942,0.009307931071968586,0.010279146029791218,0.006760632290715447,-0.00697858065061622
358,0.0,12.562747589468906,-0.7405493053788534,0.3966949952436645,1.9459101490553132,12,1,0.016467257212436952,0.011217167264066196,0.0049818510714012,-0.005490945974882526,0.00033131186790409054
261,0.0,11.107460356862065,-0.7405493053788534,0.887029501138776,3.4011973816621555,31,0,0.01570039948188666,0.009889598106100565,-0.0013438093006023645,0.001254082583891463,-0.0006540217361049536
424,0.0,13.933293593620657,-0.7405493053788534,0.040526078421648695,2.0794415416798357,10,0,0.014177248157523227,0.007616345880593409,0.016518395355570255,-0.0022909655354742806,-0.006564472848519025
509,0.0,11.512925464970229,0.35838095190332087,-1.0735384731187825,1.6094379124341003,6,0,0.012215706033358384,0.012802200941287048,0.004149939172457504,0.0036769991906398067,-0.003385547473222596
608,0.0,10.768484990022733,1.8939202628357956,-0.3604305901518634,2.995732273553991,1,0,0.011849653781498557,0.018147702433279813,-0.005211857662634553,0.0002323467035155377,-0.0003879208090967423
4,0.0,9.343871764600705,-0.7405493053788534,-1.0302908200130607,1.9459101490553132,45,0,0.01143861676603942,0.018977842073528067,-0.040761560777336565,-0.04954862206985245,0.03373207357867352
399,0.0,10.819778284410283,-0.7405493053788534,-0.09286946132855951,3.4011973816621555,11,1,0.010802805084039035,0.01107118933703417,-3.961324905533375e-06,0.00029124409247309056,0.00037192514463434427
180,0.0,11.417615285165903,1.47458278098616,0.887029501138776,4.700480365792417,26,0,0.010726244823058019,0.013873562430483818,0.001637187952514462,-0.0013485097859985593,0.0012095090681557084
483,0.0,10.819778284410283,0.45984436392148476,0.887029501138776,2.995732273553991,13,0,0.010479574112847709,0.008088519215219563,-0.003791801185974376,0.004518828360478684,-0.0024557551974107384
443,1.0,12.143158820119604,-0.7405493053788534,-0.13506087354064636,3.713572066704308,9,1,0.00956042231706092,0.42345643829384544,0.8559996818681747,0.27563950133384324,-0.7334257845545308
611,0.0,10.819778284410283,-0.7405493053788534,-0.31353035661309797,2.4849066497880004,1,1,0.009551792799463481,0.014510739838516255,0.00011662924069005542,-5.255978455152301e-05,0.00081354561127647
114,0.0,12.90927016194362,1.47458278098616,-1.9197557042651625,4.59511985013459,40,0,0.008632833288068091,0.028264991033270064,0.031266346581745603,0.04450088588254848,-0.022137354282600354
420,0.0,10.085809109330082,-0.7405493053788534,-0.3604305901518634,1.6094379124341003,10,1,0.008380749786768404,0.011975556762355318,-0.009839521248635956,-0.0034930270337181044,0.007916927676749622
119,0.4,11.151912119432899,-0.7405493053788534,0.9537272710138802,3.4965075614664802,39,1,0.00829301579124719,0.046510744069431835,0.09645869187232484,-0.13016306257117896,0.0987588958443845
