country_iso3,year_survey,icrv_regime,n_firms,fsts_mean,exporter_pct,sme_pct,fdi10_pct,rd_active_pct,iso_cert_pct,website_pct,innov_product_pct,innov_process_pct,log_lp_sd,log_lp_p10,log_lp_p50,log_lp_p90
KGZ,2013,Frontier,270,7.956,15.926,86.296,17.407,,24.812,48.889,38.433,71.845,1.077,12.199,13.122,14.887
KGZ,2019,Frontier,360,10.646,22.006,83.056,18.994,39.815,13.181,52.778,42.897,75.0,1.396,11.908,13.496,15.46
KGZ,2023,Frontier,354,11.051,23.446,85.028,11.582,8.192,10.057,65.254,22.316,60.256,1.33,12.503,13.884,15.854
KHM,2013,Frontier,775,,,,,,,,,,,,,
KHM,2016,Frontier,373,14.223,15.55,83.646,9.651,0.0,4.457,28.691,28.125,81.443,1.53,15.607,17.413,19.445
KHM,2023,Frontier,519,25.328,27.36,74.759,29.287,0.193,14.865,49.711,3.083,93.75,0.833,16.476,17.308,18.507
KHM,2024,Frontier,1759,,,,,,91.69,,,,,,,
KOR,2024,Advanced,1518,8.76,23.681,74.489,4.034,12.963,34.967,40.514,7.876,65.254,1.113,17.949,19.283,20.723
KWT,2025,Advanced,150,0.413,1.333,71.333,0.0,20.667,14.765,69.333,9.333,28.571,1.154,8.388,9.652,11.403
LAO,2009,Frontier,360,20.25,22.778,81.944,17.549,,15.588,34.167,,,1.407,16.3,17.84,20.031
LAO,2012,Frontier,379,15.538,19.894,89.446,10.106,,10.326,24.934,,,1.484,16.118,17.504,19.625
LAO,2016,Frontier,368,9.486,13.587,87.228,12.5,0.0,4.722,24.185,20.924,85.714,0.992,16.67,17.91,19.199
LAO,2018,Frontier,332,7.764,13.595,93.976,6.949,3.939,4.848,28.313,19.394,50.0,1.416,16.806,17.968,20.253
LAO,2019,Frontier,361,,,,,,90.859,,,,,,,
LAO,2024,Frontier,363,11.89,24.518,96.419,4.408,16.851,2.5,40.22,39.945,56.552,1.301,17.44,18.757,20.859
LBN,2013,Frontier,561,18.114,45.672,84.74,3.592,30.893,21.168,67.563,43.85,71.721,1.159,16.969,18.369,19.814
LBN,2019,Frontier,532,12.362,30.755,89.85,1.321,43.434,13.534,58.647,11.654,77.419,1.026,16.708,18.092,19.399
LKA,2011,Emerging,610,14.151,18.062,82.131,4.95,45.424,16.225,30.984,31.034,73.936,1.389,12.029,13.359,15.612
LKA,2025,Emerging,607,16.135,21.252,76.606,1.815,4.119,17.568,48.764,7.591,39.13,1.004,13.633,14.697,16.118
MDV,2025,Frontier,154,5.784,7.19,88.312,4.545,22.368,15.232,73.377,55.195,62.353,1.36,11.172,12.949,14.569
MMR,2014,Frontier,632,10.372,11.551,84.019,3.797,0.0,1.923,13.694,27.316,78.947,1.247,14.186,15.573,17.327
MMR,2016,Frontier,607,8.105,9.555,86.161,4.448,1.977,5.201,16.502,17.957,72.477,1.048,14.955,16.118,17.622
MNG,2009,Emerging,362,5.848,10.773,82.873,7.182,,16.431,39.227,,,1.319,14.509,16.093,17.878
MNG,2013,Emerging,360,3.944,8.101,90.556,5.833,,13.559,49.444,26.184,97.872,0.936,15.794,16.779,18.108
MNG,2019,Emerging,582,4.169,8.056,86.111,4.167,,11.978,42.061,50.556,,1.215,15.811,17.306,19.021
MNG,2025,Emerging,601,5.902,11.481,83.195,3.167,20.833,19.16,64.725,35.441,69.014,1.153,16.965,18.364,19.876
MYS,2015,Upper-middle,1000,20.405,44.205,69.442,18.1,0.0,30.342,51.662,10.173,67.0,1.56,8.197,10.309,12.206
MYS,2019,Upper-middle,1221,21.396,38.015,72.951,15.391,13.724,35.514,63.495,26.524,71.787,1.208,10.362,11.801,13.564
MYS,2024,Upper-middle,979,9.6,20.205,90.593,10.678,10.359,18.087,60.776,18.999,74.054,1.207,10.414,11.597,13.305
NPL,2009,Frontier,368,4.728,10.054,91.848,4.076,,7.989,34.783,,,1.334,11.294,12.768,14.695
NPL,2013,Frontier,482,6.913,13.278,89.834,2.075,,12.134,29.461,,,1.319,12.206,13.256,15.607
NPL,2023,Frontier,582,12.498,29.21,84.364,2.749,1.375,11.188,61.512,18.385,32.71,1.446,12.94,14.509,16.693
NPL,2024,Frontier,2535,,,,,,,,,,,,,
NPL,2025,Frontier,1740,,,,,,,,,,,,,
PAK,2013,Frontier,1247,11.301,19.077,79.241,3.146,21.322,34.313,40.972,29.785,69.081,1.996,11.107,13.661,16.262
PAK,2022,Frontier,1300,10.056,16.012,78.077,1.385,1.168,25.735,57.319,3.385,0.0,1.167,13.486,14.914,16.503
PHL,2009,Emerging,2661,18.676,26.441,74.726,22.708,,24.66,47.803,,,1.687,11.759,13.816,16.0
PHL,2023,Emerging,1002,8.113,12.224,76.583,11.535,13.98,13.617,74.724,17.713,69.942,1.185,12.024,13.305,14.995
PNG,2015,SIDS,65,1.015,7.692,70.312,69.231,0.0,20.635,56.923,60.0,69.231,1.101,10.351,11.787,13.188
PNG,2024,SIDS,145,4.191,13.971,73.611,40.0,21.678,40.8,85.417,41.667,79.661,1.484,10.153,11.653,13.497
QAT,2025,Advanced,480,2.323,6.875,75.833,19.375,0.625,9.395,63.333,6.667,9.677,0.313,11.998,12.399,12.756
SAU,2025,Advanced,1002,2.744,11.178,78.343,9.481,1.697,8.4,30.24,12.076,14.876,0.472,11.965,12.429,13.093
SGP,2023,Advanced,623,7.143,17.817,83.307,31.461,7.544,23.301,66.132,18.62,51.724,1.033,10.193,11.262,12.835
SLB,2025,SIDS,150,4.8,9.333,90.667,20.0,11.333,13.571,53.333,34.0,68.627,1.246,10.481,12.024,13.759
THA,2016,Upper-middle,1000,12.499,23.0,72.205,7.621,0.0,25.581,52.147,11.231,86.869,1.512,11.201,12.929,15.03
THA,2025,Upper-middle,813,9.254,17.365,76.999,6.273,8.674,26.309,61.899,23.798,66.667,1.383,12.024,13.816,15.567
TJK,2013,Frontier,359,6.563,13.793,90.883,6.25,,19.186,37.535,16.435,84.746,1.595,8.299,10.286,12.261
TJK,2019,Frontier,352,7.488,13.235,84.593,8.284,31.325,4.559,33.524,21.93,75.0,1.402,9.299,10.959,12.849
TJK,2024,Frontier,364,2.926,6.319,87.637,6.044,7.202,10.084,26.446,14.286,75.0,1.319,10.127,11.695,13.465
TKM,2024,Frontier,311,7.345,15.806,89.068,0.0,12.662,11.842,44.695,32.143,50.505,1.169,10.656,12.024,13.69
TLS,2009,Frontier,150,0.782,2.041,99.329,16.667,,2.0,12.0,,,2.202,7.312,9.028,11.17
TLS,2015,Frontier,126,30.556,37.302,93.651,2.381,3.846,4.839,13.492,40.476,80.392,0.996,7.681,8.672,10.336
TLS,2021,Frontier,238,0.907,2.11,94.118,9.664,4.622,0.858,33.193,2.954,71.429,1.726,6.015,8.23,10.597
TON,2024,SIDS,150,4.433,9.333,98.667,18.667,0.667,2.0,63.333,16.667,88.0,1.255,9.102,10.752,12.195
TWN,2024,Advanced,612,32.317,62.007,71.242,10.379,64.484,55.333,86.928,77.087,54.176,0.964,13.82,14.947,16.354
UZB,2013,Frontier,390,3.854,9.231,75.641,12.853,,12.176,32.905,4.872,63.158,1.415,15.264,16.953,18.72
UZB,2019,Frontier,1239,8.421,16.978,82.439,9.319,48.187,17.309,30.155,29.603,75.623,1.596,16.118,18.143,19.694
UZB,2024,Frontier,1008,5.083,9.94,78.411,4.339,3.64,8.133,34.479,17.178,72.892,2.205,15.568,18.268,20.35
VNM,2009,Emerging,1053,23.23,37.083,64.538,13.429,,23.166,43.02,,,1.275,17.804,19.417,21.129
VNM,2015,Emerging,996,17.887,29.091,73.158,8.241,0.0,17.791,48.485,30.769,64.214,1.421,18.227,19.961,21.959
VNM,2023,Emerging,1028,16.122,23.828,72.86,12.243,6.084,18.619,49.514,11.155,69.643,1.435,18.74,20.598,22.387
VUT,2009,SIDS,128,2.567,4.724,100.0,35.156,,27.2,23.438,,,1.213,13.447,15.053,16.709
VUT,2023,SIDS,111,6.01,16.0,98.198,25.234,7.207,2.941,66.364,35.78,67.568,1.501,12.397,14.578,16.486
WSM,2023,SIDS,157,4.701,17.197,97.452,8.28,12.102,6.452,62.42,45.161,36.765,1.336,9.028,10.51,12.289
YEM,2010,Frontier,477,3.351,9.034,89.263,4.237,,14.225,27.883,,,1.707,12.075,13.998,16.67
YEM,2013,Frontier,353,5.297,13.429,88.857,4.298,34.758,14.655,40.909,40.793,69.231,1.972,12.377,14.948,17.253
