variable,b_2012,se_2012,b_2024,se_2024,z,p
TCI_full_z,0.16262614821046026,0.028281714200390266,0.2741643851489675,0.033468831248072796,-2.5454884024715803,0.010912498870800924
DAI_core_z,0.027392674856167847,0.024998230528423006,0.06783927895399625,0.033720693221294784,-0.963561682007998,0.3352657255438056
FSTS,1.6582170888319294,0.36814482095708956,0.7511963897343308,0.5888827497794042,1.30602800088883,0.19154303553645535
FSTS_sq,-1.990898448176945,0.41234357228918417,-0.8039364709818648,0.7095109052293436,-1.446404043966204,0.14806390826870164
